round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
2200,0.206557,0.220594,0.22261,0.206835,0.205662
2210,0.206667,0.220452,0.222079,0.206893,0.205643
2220,0.206277,0.220584,0.222502,0.206548,0.205624
2230,0.2065,0.221075,0.222724,0.206786,0.205605
2240,0.206222,0.220161,0.221869,0.206423,0.205586
2250,0.206255,0.220205,0.222053,0.206473,0.205568
2260,0.206305,0.21907,0.220628,0.20647,0.205549
2270,0.206094,0.219292,0.220966,0.206258,0.205531
2280,0.206182,0.219018,0.220723,0.206258,0.205513
2290,0.206175,0.218656,0.220554,0.206354,0.205495
2300,0.206258,0.218265,0.219976,0.206366,0.205477
2310,0.206168,0.21793,0.2198,0.206198,0.205459
2320,0.206081,0.218793,0.220624,0.206138,0.205441
